customer_id,customer_name,contact_info,demographics
1,Customer 1,customer1@gmail.com,36-45
2,Customer 2,customer2@gmail.com,56+
3,Customer 3,customer3@gmail.com,36-45
4,Customer 4,customer4@gmail.com,36-45
5,Customer 5,customer5@gmail.com,56+
6,Customer 6,customer6@gmail.com,36-45
7,Customer 7,customer7@gmail.com,46-55
8,Customer 8,customer8@gmail.com,18-25
9,Customer 9,customer9@gmail.com,56+
10,Customer 10,customer10@gmail.com,46-55
11,Customer 11,customer11@gmail.com,56+
12,Customer 12,customer12@gmail.com,46-55
13,Customer 13,customer13@gmail.com,18-25
14,Customer 14,customer14@gmail.com,26-35
15,Customer 15,customer15@gmail.com,46-55
16,Customer 16,customer16@gmail.com,26-35
17,Customer 17,customer17@gmail.com,36-45
18,Customer 18,customer18@gmail.com,26-35
19,Customer 19,customer19@gmail.com,18-25
20,Customer 20,customer20@gmail.com,26-35
21,Customer 21,customer21@gmail.com,36-45
22,Customer 22,customer22@gmail.com,26-35
23,Customer 23,customer23@gmail.com,56+
24,Customer 24,customer24@gmail.com,56+
25,Customer 25,customer25@gmail.com,26-35
26,Customer 26,customer26@gmail.com,56+
27,Customer 27,customer27@gmail.com,26-35
28,Customer 28,customer28@gmail.com,36-45
29,Customer 29,customer29@gmail.com,18-25
30,Customer 30,customer30@gmail.com,26-35
31,Customer 31,customer31@gmail.com,36-45
32,Customer 32,customer32@gmail.com,26-35
33,Customer 33,customer33@gmail.com,36-45
34,Customer 34,customer34@gmail.com,18-25
35,Customer 35,customer35@gmail.com,26-35
36,Customer 36,customer36@gmail.com,46-55
37,Customer 37,customer37@gmail.com,46-55
38,Customer 38,customer38@gmail.com,26-35
39,Customer 39,customer39@gmail.com,26-35
40,Customer 40,customer40@gmail.com,18-25
41,Customer 41,customer41@gmail.com,56+
42,Customer 42,customer42@gmail.com,56+
43,Customer 43,customer43@gmail.com,18-25
44,Customer 44,customer44@gmail.com,46-55
45,Customer 45,customer45@gmail.com,18-25
46,Customer 46,customer46@gmail.com,18-25
47,Customer 47,customer47@gmail.com,26-35
48,Customer 48,customer48@gmail.com,46-55
49,Customer 49,customer49@gmail.com,18-25
50,Customer 50,customer50@gmail.com,56+
51,Customer 51,customer51@gmail.com,18-25
52,Customer 52,customer52@gmail.com,46-55
53,Customer 53,customer53@gmail.com,46-55
54,Customer 54,customer54@gmail.com,26-35
55,Customer 55,customer55@gmail.com,26-35
56,Customer 56,customer56@gmail.com,56+
57,Customer 57,customer57@gmail.com,18-25
58,Customer 58,customer58@gmail.com,26-35
59,Customer 59,customer59@gmail.com,18-25
60,Customer 60,customer60@gmail.com,26-35
61,Customer 61,customer61@gmail.com,36-45
62,Customer 62,customer62@gmail.com,56+
63,Customer 63,customer63@gmail.com,26-35
64,Customer 64,customer64@gmail.com,26-35
65,Customer 65,customer65@gmail.com,56+
66,Customer 66,customer66@gmail.com,46-55
67,Customer 67,customer67@gmail.com,36-45
68,Customer 68,customer68@gmail.com,36-45
69,Customer 69,customer69@gmail.com,26-35
70,Customer 70,customer70@gmail.com,46-55
71,Customer 71,customer71@gmail.com,26-35
72,Customer 72,customer72@gmail.com,56+
73,Customer 73,customer73@gmail.com,36-45
74,Customer 74,customer74@gmail.com,36-45
75,Customer 75,customer75@gmail.com,26-35
76,Customer 76,customer76@gmail.com,36-45
77,Customer 77,customer77@gmail.com,36-45
78,Customer 78,customer78@gmail.com,36-45
79,Customer 79,customer79@gmail.com,26-35
80,Customer 80,customer80@gmail.com,26-35
81,Customer 81,customer81@gmail.com,56+
82,Customer 82,customer82@gmail.com,26-35
83,Customer 83,customer83@gmail.com,56+
84,Customer 84,customer84@gmail.com,26-35
85,Customer 85,customer85@gmail.com,18-25
86,Customer 86,customer86@gmail.com,18-25
87,Customer 87,customer87@gmail.com,56+
88,Customer 88,customer88@gmail.com,26-35
89,Customer 89,customer89@gmail.com,56+
90,Customer 90,customer90@gmail.com,36-45
91,Customer 91,customer91@gmail.com,46-55
92,Customer 92,customer92@gmail.com,56+
93,Customer 93,customer93@gmail.com,46-55
94,Customer 94,customer94@gmail.com,18-25
95,Customer 95,customer95@gmail.com,56+
96,Customer 96,customer96@gmail.com,26-35
97,Customer 97,customer97@gmail.com,56+
98,Customer 98,customer98@gmail.com,56+
99,Customer 99,customer99@gmail.com,26-35
100,Customer 100,customer100@gmail.com,18-25
101,Customer 101,customer101@gmail.com,56+
102,Customer 102,customer102@gmail.com,26-35
103,Customer 103,customer103@gmail.com,46-55
104,Customer 104,customer104@gmail.com,56+
105,Customer 105,customer105@gmail.com,26-35
106,Customer 106,customer106@gmail.com,18-25
107,Customer 107,customer107@gmail.com,56+
108,Customer 108,customer108@gmail.com,56+
109,Customer 109,customer109@gmail.com,36-45
110,Customer 110,customer110@gmail.com,18-25
111,Customer 111,customer111@gmail.com,56+
112,Customer 112,customer112@gmail.com,36-45
113,Customer 113,customer113@gmail.com,46-55
114,Customer 114,customer114@gmail.com,36-45
115,Customer 115,customer115@gmail.com,56+
116,Customer 116,customer116@gmail.com,46-55
117,Customer 117,customer117@gmail.com,56+
118,Customer 118,customer118@gmail.com,56+
119,Customer 119,customer119@gmail.com,26-35
120,Customer 120,customer120@gmail.com,26-35
121,Customer 121,customer121@gmail.com,56+
122,Customer 122,customer122@gmail.com,36-45
123,Customer 123,customer123@gmail.com,18-25
124,Customer 124,customer124@gmail.com,46-55
125,Customer 125,customer125@gmail.com,56+
126,Customer 126,customer126@gmail.com,18-25
127,Customer 127,customer127@gmail.com,36-45
128,Customer 128,customer128@gmail.com,26-35
129,Customer 129,customer129@gmail.com,46-55
130,Customer 130,customer130@gmail.com,26-35
131,Customer 131,customer131@gmail.com,36-45
132,Customer 132,customer132@gmail.com,46-55
133,Customer 133,customer133@gmail.com,46-55
134,Customer 134,customer134@gmail.com,36-45
135,Customer 135,customer135@gmail.com,36-45
136,Customer 136,customer136@gmail.com,18-25
137,Customer 137,customer137@gmail.com,46-55
138,Customer 138,customer138@gmail.com,56+
139,Customer 139,customer139@gmail.com,18-25
140,Customer 140,customer140@gmail.com,56+
141,Customer 141,customer141@gmail.com,46-55
142,Customer 142,customer142@gmail.com,46-55
143,Customer 143,customer143@gmail.com,56+
144,Customer 144,customer144@gmail.com,26-35
145,Customer 145,customer145@gmail.com,26-35
146,Customer 146,customer146@gmail.com,46-55
147,Customer 147,customer147@gmail.com,36-45
148,Customer 148,customer148@gmail.com,56+
149,Customer 149,customer149@gmail.com,26-35
150,Customer 150,customer150@gmail.com,56+
151,Customer 151,customer151@gmail.com,46-55
152,Customer 152,customer152@gmail.com,18-25
153,Customer 153,customer153@gmail.com,46-55
154,Customer 154,customer154@gmail.com,46-55
155,Customer 155,customer155@gmail.com,46-55
156,Customer 156,customer156@gmail.com,18-25
157,Customer 157,customer157@gmail.com,18-25
158,Customer 158,customer158@gmail.com,26-35
159,Customer 159,customer159@gmail.com,26-35
160,Customer 160,customer160@gmail.com,18-25
161,Customer 161,customer161@gmail.com,56+
162,Customer 162,customer162@gmail.com,18-25
163,Customer 163,customer163@gmail.com,36-45
164,Customer 164,customer164@gmail.com,26-35
165,Customer 165,customer165@gmail.com,18-25
166,Customer 166,customer166@gmail.com,36-45
167,Customer 167,customer167@gmail.com,56+
168,Customer 168,customer168@gmail.com,56+
169,Customer 169,customer169@gmail.com,56+
170,Customer 170,customer170@gmail.com,36-45
171,Customer 171,customer171@gmail.com,26-35
172,Customer 172,customer172@gmail.com,46-55
173,Customer 173,customer173@gmail.com,46-55
174,Customer 174,customer174@gmail.com,46-55
175,Customer 175,customer175@gmail.com,46-55
176,Customer 176,customer176@gmail.com,26-35
177,Customer 177,customer177@gmail.com,46-55
178,Customer 178,customer178@gmail.com,18-25
179,Customer 179,customer179@gmail.com,56+
180,Customer 180,customer180@gmail.com,56+
181,Customer 181,customer181@gmail.com,18-25
182,Customer 182,customer182@gmail.com,46-55
183,Customer 183,customer183@gmail.com,36-45
184,Customer 184,customer184@gmail.com,46-55
185,Customer 185,customer185@gmail.com,36-45
186,Customer 186,customer186@gmail.com,46-55
187,Customer 187,customer187@gmail.com,46-55
188,Customer 188,customer188@gmail.com,56+
189,Customer 189,customer189@gmail.com,36-45
190,Customer 190,customer190@gmail.com,36-45
191,Customer 191,customer191@gmail.com,46-55
192,Customer 192,customer192@gmail.com,26-35
193,Customer 193,customer193@gmail.com,36-45
194,Customer 194,customer194@gmail.com,18-25
195,Customer 195,customer195@gmail.com,46-55
196,Customer 196,customer196@gmail.com,18-25
197,Customer 197,customer197@gmail.com,26-35
198,Customer 198,customer198@gmail.com,46-55
199,Customer 199,customer199@gmail.com,56+
200,Customer 200,customer200@gmail.com,46-55
201,Customer 201,customer201@gmail.com,56+
202,Customer 202,customer202@gmail.com,26-35
203,Customer 203,customer203@gmail.com,56+
204,Customer 204,customer204@gmail.com,36-45
205,Customer 205,customer205@gmail.com,18-25
206,Customer 206,customer206@gmail.com,56+
207,Customer 207,customer207@gmail.com,18-25
208,Customer 208,customer208@gmail.com,56+
209,Customer 209,customer209@gmail.com,46-55
210,Customer 210,customer210@gmail.com,46-55
211,Customer 211,customer211@gmail.com,56+
212,Customer 212,customer212@gmail.com,26-35
213,Customer 213,customer213@gmail.com,56+
214,Customer 214,customer214@gmail.com,18-25
215,Customer 215,customer215@gmail.com,26-35
216,Customer 216,customer216@gmail.com,36-45
217,Customer 217,customer217@gmail.com,18-25
218,Customer 218,customer218@gmail.com,46-55
219,Customer 219,customer219@gmail.com,56+
220,Customer 220,customer220@gmail.com,18-25
221,Customer 221,customer221@gmail.com,56+
222,Customer 222,customer222@gmail.com,36-45
223,Customer 223,customer223@gmail.com,18-25
224,Customer 224,customer224@gmail.com,56+
225,Customer 225,customer225@gmail.com,26-35
226,Customer 226,customer226@gmail.com,56+
227,Customer 227,customer227@gmail.com,46-55
228,Customer 228,customer228@gmail.com,18-25
229,Customer 229,customer229@gmail.com,56+
230,Customer 230,customer230@gmail.com,18-25
231,Customer 231,customer231@gmail.com,18-25
232,Customer 232,customer232@gmail.com,46-55
233,Customer 233,customer233@gmail.com,56+
234,Customer 234,customer234@gmail.com,36-45
235,Customer 235,customer235@gmail.com,26-35
236,Customer 236,customer236@gmail.com,18-25
237,Customer 237,customer237@gmail.com,26-35
238,Customer 238,customer238@gmail.com,56+
239,Customer 239,customer239@gmail.com,46-55
240,Customer 240,customer240@gmail.com,56+
241,Customer 241,customer241@gmail.com,46-55
242,Customer 242,customer242@gmail.com,46-55
243,Customer 243,customer243@gmail.com,26-35
244,Customer 244,customer244@gmail.com,36-45
245,Customer 245,customer245@gmail.com,56+
246,Customer 246,customer246@gmail.com,26-35
247,Customer 247,customer247@gmail.com,18-25
248,Customer 248,customer248@gmail.com,56+
249,Customer 249,customer249@gmail.com,26-35
250,Customer 250,customer250@gmail.com,46-55
251,Customer 251,customer251@gmail.com,36-45
252,Customer 252,customer252@gmail.com,36-45
253,Customer 253,customer253@gmail.com,46-55
254,Customer 254,customer254@gmail.com,26-35
255,Customer 255,customer255@gmail.com,26-35
256,Customer 256,customer256@gmail.com,18-25
257,Customer 257,customer257@gmail.com,36-45
258,Customer 258,customer258@gmail.com,56+
259,Customer 259,customer259@gmail.com,56+
260,Customer 260,customer260@gmail.com,56+
261,Customer 261,customer261@gmail.com,36-45
262,Customer 262,customer262@gmail.com,46-55
263,Customer 263,customer263@gmail.com,26-35
264,Customer 264,customer264@gmail.com,56+
265,Customer 265,customer265@gmail.com,18-25
266,Customer 266,customer266@gmail.com,18-25
267,Customer 267,customer267@gmail.com,46-55
268,Customer 268,customer268@gmail.com,46-55
269,Customer 269,customer269@gmail.com,36-45
270,Customer 270,customer270@gmail.com,46-55
271,Customer 271,customer271@gmail.com,26-35
272,Customer 272,customer272@gmail.com,56+
273,Customer 273,customer273@gmail.com,56+
274,Customer 274,customer274@gmail.com,26-35
275,Customer 275,customer275@gmail.com,46-55
276,Customer 276,customer276@gmail.com,26-35
277,Customer 277,customer277@gmail.com,46-55
278,Customer 278,customer278@gmail.com,26-35
279,Customer 279,customer279@gmail.com,46-55
280,Customer 280,customer280@gmail.com,18-25
281,Customer 281,customer281@gmail.com,46-55
282,Customer 282,customer282@gmail.com,56+
283,Customer 283,customer283@gmail.com,46-55
284,Customer 284,customer284@gmail.com,46-55
285,Customer 285,customer285@gmail.com,56+
286,Customer 286,customer286@gmail.com,56+
287,Customer 287,customer287@gmail.com,56+
288,Customer 288,customer288@gmail.com,26-35
289,Customer 289,customer289@gmail.com,18-25
290,Customer 290,customer290@gmail.com,26-35
291,Customer 291,customer291@gmail.com,36-45
292,Customer 292,customer292@gmail.com,18-25
293,Customer 293,customer293@gmail.com,26-35
294,Customer 294,customer294@gmail.com,56+
295,Customer 295,customer295@gmail.com,18-25
296,Customer 296,customer296@gmail.com,18-25
297,Customer 297,customer297@gmail.com,26-35
298,Customer 298,customer298@gmail.com,56+
299,Customer 299,customer299@gmail.com,18-25
300,Customer 300,customer300@gmail.com,56+
301,Customer 301,customer301@gmail.com,36-45
302,Customer 302,customer302@gmail.com,46-55
303,Customer 303,customer303@gmail.com,56+
304,Customer 304,customer304@gmail.com,36-45
305,Customer 305,customer305@gmail.com,36-45
306,Customer 306,customer306@gmail.com,46-55
307,Customer 307,customer307@gmail.com,46-55
308,Customer 308,customer308@gmail.com,46-55
309,Customer 309,customer309@gmail.com,36-45
310,Customer 310,customer310@gmail.com,18-25
311,Customer 311,customer311@gmail.com,26-35
312,Customer 312,customer312@gmail.com,46-55
313,Customer 313,customer313@gmail.com,36-45
314,Customer 314,customer314@gmail.com,56+
315,Customer 315,customer315@gmail.com,46-55
